Title,Date,Description,Source
"Klub Dewa United Basketball Resmi Pindah Kandang ke Banten di IBL 2023, Perbasi Tangerang Semringah","Senin, 19 Des 2022 23:37 WIB","_KlubDewa United Basketball Resmi Pindah Kandang ke Banten, Perbasi Tangerang
Semringah_  
  

\- Dewa United Basketball resmi berpindah kandang ke Banten pada IBL musim
2023.

Tim berjuluk Anak Dewa itu pindah dari Surabaya, _homebase_ mereka sebelumnya.

Perpindahan itu pun langsung disambut hangat oleh Pengurus Provinsi, Perbasi
Tangerang.

Ketua Pengprov Perbasi Tangerang Andri S Permana mengatakan kehadiran Dewa
United Banten diharapkan membuat suasana perbasketan Tangerang semakin
bergairah.

""Untuk Dewa United yang sudah resmi berlabuh di Kota Tangerang, akhirnya kita
punya harapan besar bahwa keberadaan Dewa United pasti mampu memberikan dampak
langsung bagi sektor perkembangan olahraga khususnya basket di Kota
Tangerang,"" ujar Andri.

""Dewa United bisa menjadi katalis anak-anak muda yang ingin mempercayakan
basket sebagai media pembentukan karakter mereka, akhirnya mimpi mereka untuk
menjadi atlet profesional di Tangerang menjadi lebih terbuka dengan keberadaan
Dewa United,"" sambungnya.

Andri pun menambahkan, dengan kehadiran Dewa United Banten tentu akan
mendongkrak impian Perbasi Kota Tangerang untuk membangun iklim _sport
industry_ di wilayahnya.

Lebih lanjut, Perbasi Kota Tangerang memiliki impian berkolaborasi dengan Dewa
United untuk membangun sport industry.

Hal itu bisa direpresentasikan melalui event-event olahraga terutama basket
yang bisa menjadi daya tarik dalam sport tourism.

""Dewa United sebagai organisasi yang sudah kukuh tentunya akan memberikan
dampak sosial-ekonomi kepada masyarakat Kota Tangerang. Keberadaan Dewa United
diharapkan juga bisa membangun iklim sport industry yang bagus di Kota
Tangerang yang menjadi mimpi besarnya Pak Wali Kota Tangerang,"" ucap Andri.

""Bahwa olahraga yang dikelola dengan baik akan menjadi industri, dan industri
olahraga akan bisa menjadi destinasi wisata olahraga yang itu sangat
diharapkan oleh Pak Wali Kota agar berdampak kepada nilai ekonomi masyarakat,
terutama UMKM yang ada di Kota Tangerang,"" pungkasnya.

(Alfarizy/M39)

 ",www.tribunnews.com
"Jadwal BWF World Tour Finals 2022, Debut Fajar/Rian dan Gregoria, Apri/Fadia Dapat Rejeki Nomplok","Kamis, 01 Des 2022 13:42 WIB","Simak jadwal lengkap perhelatan BWF World Tour Finals 2022.

BWF World Tour Finals 2022 akan dimulai pada 7 hingga 11 Desember 2022.

Nantinya, pertandingan akan dijadwalkan dimulai pada pukul 11.00 WIB.

Dan mulai babak final yang dijadwalkan berlangsung Minggu 11 Desember 2022,
akan dimulai pada jam 13.00 WIB.

Ada tujuh wakil dari Indonesia yang akan tampil di BWF World Tour Finals yang
akan digelar di Thailand.

Mereka adalah Anthony Sinisuka Ginting dan Jonatan Christie di sektor tunggal
putra.

Gregoria Mariska Tunjung di sektor tunggal putri.

Fajar Alfian/Muhammad Rian Ardianto dan Mohammad Ahsan/Hendra Setiawan untuk
sektor ganda putra.

Pada sektor ganda putri ada Apriyani Rahayu/Siti Fadia Silva Ramadhanti.

Terakhir, Rinov Rivaldy/Pitha Haningtyas Mentari di sektor ganda campuran.

Ada dua nama yang mengejutkan, yakni Gregoria dan Apri/Fadia.

Pasalnya keduanya sebenarnya tak masuk ranking untuk mentas di ajang BWF World
Tour Finals 2022.

Grego naik peringkat dan masuk BWF World Tour Finals setelah wakil Indoa
mengundurkan diri.

Pusarla V Sindhu alami cedera dan harus merelakan ajang tahun ini untuk pemain
cadangan.

Pemain cadangan tersebut adalah Gregoria Mariska Tunjung.

Sementara pasangan Apri/Fadia, nampaknya jadi rejeki nomplok.

Apri/ Fadia mendapatkan undangan secara resmi dari BWF untuk menggantikan
wakil dari Jepang Matsuyama/ Shida yang mengundurkan diri.

Selain Gregoria dan Apri/Fadia, ganda putra Fajar Alfian/Muhammad Rian
Ardianto yang juga lolos ternyata baru debut mentas di ajang BWF World Tour
Finals.

 ",www.tribunnews.com
Jadwal Badminton BWF 2023: Ada 30 Turnamen Super 300+ dan 5 Major Event Sepanjang Tahun,"Rabu, 14 Des 2022 14:34 WIB","Berikut jadwal badminton 2023 yang dirilis oleh Badminton World Federation
(BWF).

BWF dan pebulutangkis papan atas telah merampungkan semua tur termasuk BWF
World Tours Finals 2022.

Tahun depan setidaknya akan ada 35 turnamen yang termasuk BWF World Tour Super
300+ dan Major Event.

Sepanjang tahun 2023 ada lima major event, yakni Badminton Asia Mixed Team
Championships 2023, Badminton Asia Championships 2023, BWF Sudirman Cup Finals
2023, BWF World Championships 2023, dan BWF World Tour Finals 2023

Rangkaian BWF World Tour 2023 ini akan dimulai pada pertengah Januari, yakni
Malaysia Open 2023 yang merupakan turnamen Super 1000.

Tahun ini, Persatuan Bulutangkis Seluruh Indonesia (PBSI) menurunkan kekuatan
penuh, khususnya partai ganda putra.

Enam pasang ganda putra terbaik diturunkan untuk mendapatkan poin demi
mempertahankan posisi di ranking Badminton World Federation (BWF).

Marcus Fernaldi Gideon/Kevin Sanjaya Sukamuljo akhirnya kembali ke lapangan
setelah absen di beberapa turnamen internasional belakangan ini.

Bahkan nama pasangan berjuluk Minions ini tak masuk dalam gelaran bergengsi
Badminton World Tour Final yang bakal digelar pada 7-11 Desember 2022.

PBSI telah merilis 19 wakil, termasuk satu wakil profesional di partai ganda
campuran.

Wakil tersebut adalah Dejan Ferdinansyah/Gloria Emanuelle Widjaja.

  1. 10-15 Januari: Malaysia Open 2023 Super 1000
  2. 17-22 Januari: India Open 2023 Super 750
  3. 24-29 Januari: Indonesia Masters 2023 Super 500
  4. 31 Januari - 5 Februari: Thailand Masters 2023 Super 300
  5. 14-12 Februari: Badminton Asia Mixed Team Championships 2023
  6. 7-12 Maret: German Open 2023 Super 300
  7. 14-19 Maret: All England 2023 Super 1000
  8. 21-26 Maret: Swiss Open 2023 Super 300
  9. 28 Maret - 2 April: Madrd Spain Masters 2023 Super 300
  10. 4-9 April: Orleans Masters 2023 Super 300
  11. 25-30 April: Badminton Asia Championships 2023
  12. 14-21 Mei: BWF Sudirman Cup Finals 2023
  13. 23-28 Mei: Malaysia Masters 2023 Super 500
  14. 30 Mei - 4 Juni: Thailand Open 2023 Super 500
  15. 6-11 Juni: Singapore Open 2023 Super 750
  16. 13-18 Juni: Indonesia Open 2023 Super 1000
  17. 20-25 Juni: Taipe Open 2023 Super 300
  18. 4-9 Juli: Canada Open 2023 Super 500
  19. 11-16 Juli: US Open 2023 Super 300
  20. 18-23 Juli: Korea Open 2023 Super 500
  21. 25-30 Juli: Japan Open 2023 Super 750
  22. 1-6 Agustus: Australia Open 2023 Super 500
  23. 8-13 Agustus: New Zealand Open 2023 Super 300
  24. 21-27 Agustus: BWF World Championships 2023
  25. 5-10 September: China Open 2023 Super 1000
  26. 12-17 September: Hong Kong Open 2023 Super 500
  27. 10-15 Oktober: Arctic Open 2023 Super 500
  28. 17-22 Oktober: Denmark Open 2023 Super 750
  29. 24-29 Oktober: French Open 2023 Super 750
  30. 31 Oktober - 5 November: Hylo Open 2023 Super 300
  31. 7-12 November: Korea Masters 2023 Super 300
  32. 14-19 November: Japan Masters 2023 Super 500
  33. 21-26 November: China Masters 2023 Super 750
  34. 28 November - 3 Desember: Syed Modi India International 2023 Super 300
  35. 13-17 Desember: BWF World Tour Finals 2023

__

 ",www.tribunnews.com
"BWF World Tour Finals 2022: Meski Kalah dari Ong/Teo, Fajar/Rian Tetap Lolos ke Semifinal","Jumat, 09 Des 2022 15:49 WIB","Fajar Alfian/Muhammad Rian Ardianto lolos ke babak semifinal BWF Wolrd Tour
Finals 2022.

Fajar/Rian kalah dalam laga terakhir babak kualifikasi Grup A pada Jumat
(9/12/2022) siang.

Mereka harus mengakui keunggulan wakil Malaysia, Ong Yew Sin/Teo Ee Yi dalam
rubber set.

Laga sengit itu berakhir dengan poin tipis, 21-10, 17-21, dan 19-21.

Meski demikian, Fajar/Rian tetap lolos semifinal BWF World Tour Finals 2022
karena hanya membutuhkan poin dari menang satu set saja.

Sebelumnya, Fajar/Rian telah meraih dua kemanangan dari Cho Sol-gyu/Kim Won-ho
dan Takuro Hoki/Yugo Kobayashi.

Mulanya, Fajar/Rian bermain agresif di babak pertama.

Ong/Teo hanya meraih 4 poin sampai Fajar/Rian bisa mengakhiri interval game
pertama.

Ancaman terjadi saat wakil Malaysia itu mendekati poin Fajar/Rian menjadi
7-11.

Namun, Fajar/Rian terus melaju dengan skor 21-10.

Babak kedua, Ong/Teo makin menguasai permainan hingga berhasil memaksa
Fajar/Rian untuk melakoni rubber set.

Ong/Teo berhasil dengan skor 21-17.

Set terakhir, poin tipis terus terjadi di sepanjang laga.

Laga ketat terjadi hingga Ong/Teo memimpin, 11-8.

Namun, Fajar/Rian terus mengejar untuk menyamakan kedudukan 12-12.

Permainan pun berakhir pada angka 19-21.

Setelah ini masih ada laga Rinov Rivaldy/Pitha Haningtyas melawan Thom
Gicquel/Delphine Delrue (Prancis) dan Mohammad Ahsan/Hendra Setiawan melawan
Liu Yuchen/Ou Xuanyi (China).

BWF World Tour Finals 2022 dapat disaksikan melalui streaming di RCTI+ atau
klik link berikut.

Court 1:

WD: Apriyani Rahayu/Siti Fadia (Indonesia) vs - 16-21 dan 16-21

MS: vs Chou Tien Chen (Taiwan) - 21-12, 12, 21, 21, 17

MS: vs Loh Kean Yew (Singapura) - 21-12, 23-21

Court 2:

WS - Gregoria Mariska Tunjung (Indonesia) vs - 21-15, 13-21, 21-18

MD - Fajar Alfian/Rian Ardianto (Indonesia) vs - 21-10, 17-21, 19-21

XD - Rinov Rivaldy/Pitha Haningtyas (Indonesia) vs Thom Gicquel/Delphine
Delrue (Prancis) - _Followed By_

MD - Mohammad Ahsan/Hendra Setiawan (Indonesia) vs Liu Yuchen/Ou Xuanyi
(China) - _Followed By_

__

 ",www.tribunnews.com
Jadwal IBL 2023: Mulai Dari Bali 14 Januari 2023 dan Berlangsung Sebanyak 8 Series,"Rabu, 21 Des 2022 07:05 WIB","\- Indonesian Basketball League (IBL) 2023 akan memasuki musim baru.

Jadwal IBL 2023 dimulai dari series di Bali yang akan berlangsung pada tanggal
14 Januari 2023 mendatang.

Series Bali akan menggunakan GOR Merpati sebagai venue pertandingan.

Sebagai series pembuka, IBL 2023 di Bali akan dihelat pada tanggal 14-21
Januari 2023.

\- Series 1 Bali: 14-21 Januari 2023 (GOR Merpati)

\- Series 2 Malang: 28 Januari - 4 Februari 2023 (GOR Bimasakti)

\- Series 3 Surabaya: 11-18 Februari 2023 (DBL Arena)

\- Series 4 Solo: 25 Februari-4 Maret 2023 (GOR Sritex Arena)

\- Series 5 Semarang: 11-18 Maret 2023 (Knights Stadion)

\- Series 6 Yogyakarta: 24-31 Mei (GOR Amongrogo)

\- Series 7 Bandung: 4-11 Juni (GOR C-Tra Arena)

\- Series 8 Jakarta: 17-24 Juni (Britama Arena)

Satria Muda jadi kampiun IBL 2022.

Klub asuhan Youbel Sondakh ini berhasil back-to-back di IBL 2022.

Kendati begitu rivalnya, Pelita Jaya tak patah arang.

Vincent Kosasih dan kolega berpeluang untuk rebut gelar juara dari Satria
Muda.

Dikatakan demikian lantaran Pelita Jaya lah yang berhasil menumbangkan Satria
Muda di laga pramusim, Indonesia Cup.

Pelita Jaya dengan kekuatan barunya tentu memiki kans untuk jadi juara.

Tapi dengan catatan mereka mampu menunjukkan permainan seperti di Indonesia
Cup.

Kendati kalah di Indonesia Cup tidak membuat Satria Muda berkecil hati.

Sang juara bertahan juga apik dalam penyesuaian selanjutnya,

Oleh karena itu menarik dinanti bagaimana keseruan IBL 2023.

__

 ",www.tribunnews.com
"Jadwal Badminton BWF 2023: Indonesia Masters Januari, Indonesia Open Bulan Juni","Senin, 19 Des 2022 13:29 WIB","\- Berikut ini jadwal badminton 2023 mendatang yang akan dimulai bulan
Januari.

Indonesia kebagian dua event besar yaitu Indonesia Masters dan Indonesia Open.

Indonesia Masters 2023 bakal digelar mulai bulan Januari mendatang, sedangkan
Indonesia Open 2023 berlangsung di bulan Juni.

Tahun 2023 akan menjadi tantangan baru bagi Fajar/Rian dan kolega.

Sebab mereka baru saja merampungkan seluruh pertandingan di tahun 2022 dengan
melakoni gelaran BWF World Tour Finals 2022.

Terlebih Fajar/Rian yang baru saja mendapat ranking terbaiknya yaitu merangsek
ke posisi dua dunia.

Menarik dinantikan aksi Fajar/Rian ketika beraksi di tahun 2023 nanti.

  
Malaysia Open 2023 (Super 1000)

  
India Open 2023 (Super 750)

  
Indonesia Masters 2023 (Super 500)

  
Thailand Masters 2023 (Super 300)

  
Badminton Asia Mixed Team Championships 2023

  
German Open 2023 (Super 300)

  
All England 2023 (Super 1000)

  
Swiss Open 2023 (Super 300)

  
Madrid Spain Masters 2023 (Super 300)

  
Orleans Masters 2023 (Super 300)

  
Badminton Asia Championships 2023

  
BWF Sudirman Cup Finals 2023

  
Malaysia Masters 2023 (Super 500)

  
Thailand Open 2023 (Super 500)

  
Singapore Open 2023 (Super 750)

  
Indonesia Open 2023 (Super 1000)

  
Taipei Open 2023 Super 300

  
Canada Open 2023 (Super 500)

  
US Open 2023 (Super 300)

  
Korea Open 2023 (Super 500)

  
Japan Open 2023 (Super 750)

  
Australia Open 2023 (Super 500)

  
New Zealand Open 2023 (Super 300)

  
BWF World Championships 2023

  
China Open 2023 (Super 1000)

  
Hong Kong Open 2023 (Super 500)

  
Arctic Open 2023 (Super 500)

  
Denmark Open 2023 (Super 750)

  
French Open 2023 (Super 750)

  
Hylo Open 2023 (Super 300)

  
Korea Masters 2023 (Super 300)

  
Japan Masters 2023 (Super 500)

  
China Masters 2023 (Super 750)

  
Syed Modi India International 2023 (Super 300)

  
BWF World Tour Finals 2023

__

 ",www.tribunnews.com
Daftar Tim Peserta Liga Futsal Profesional Indonesia 2023: Cosmo JNE Punya Pemain hingga Jersey Baru,"Kamis, 15 Des 2022 16:58 WIB","_Daftar Tim PesertaLiga Futsal Profesional Indonesia 2023: Cosmo JNE Kenalkan
Pemain, Maskot, hingga Jersey Baru_  
  

\- Klub futsal profesional, Cosmo JNE meluncurkan jersey hingga maskot baru
jelang tampil di Liga Futsal Profesional 2023.

Klub asal Jakarta itu memperkenalkan empat jenis jersey yang bakal dipakai
dalam mengarungi kompetisi yang mulai bergulir 7 Januari 2023.

JNE Cosmo memperkenalkan empat jersey dengan aksen warna yang berbeda, mulai
dari hitam, putih, ungu, dan kuning.

Dalam acara launcing yang berlangsung di kawasan Senayan, Jakarta, Kamis
(15/12/2022) itu, Cosmo JNE juga mengenalkan MARS, sebagai maskotnya.

Pada Liga edisi sebelumnya, tim berjuluk Yelow Sub ini menutup musim dengan
menduduki peringkat ketiga.

Untuk mengarungi kompetisi futsal bergengsi di Indonesia musim 2023, berikut
susunan Pelatih dan Pemain Cosmo JNE.

Manajer Tim - Hansen Tjubianto

Pelatih Kepala - Coach Denny Handoyo.

Eko Prabowo (official)

Julinur Hafid (official)

Pelatih kiper - Ade Lesmana

Fachri Reza, Yamani Reza, Dewa Rizki, Reza Gunawan, M. Zakariya Anwar, Roby
Hilman, Afif Rizky, M. Iksan Rahardian, Rizkqy Hanna Bagas Wijaya, Aldi
Wanjaya, Abdul Rahman, Al fajri Zikri, Andrei Kustiawan.

Cosmo JNE akan bermarkas di Jakarta, memakai GOR POPKI Cibubur Jakarta Timur
sebagai satu di antara  
tempat penyelenggaraan Liga Futsal Pro 2023.

Untuk musim kompetisi 2023, Liga Futsal Pro akan berlangsung di 5 kota yaitu
Jakarta, Surabaya, Pontianak, Lampung dan Malang.

Liga Futsal Pro berisikan 12 tim terbaik di Indonesia, dan sudah ditetapkan
oleh Federasi Futsal Indonesia.

Kompetisi itu akan berlangsung pada 7 Januari - 27 Agustus 2023.

1\. Bintang Timur Surabaya

2\. Black Steel Manokwari

3\. Cosmo JNE FC

4\. Pendekar United

5\. Kancil BBK Pontianak

6\. Futsal Jabar

7\. Vamos FC Mataram

8\. Halus FC Jakarta

9\. Pelindo FC Jakarta

10\. Giga FC Kota Metro

11\. Unggul FC Malang

12\. Radit FC Pontianak

 ",www.tribunnews.com
"Tiket Indonesia Masters 2023 Mulai Dijual Besok, Berikut Daftar Harga dan Kategorinya","Rabu, 21 Des 2022 21:02 WIB","_TiketIndonesia Masters 2023 Mulai Dijual Besok, Berikut Daftar Harga dan
Kategorinya_

\- Para pecinta bulutangkis di Indonesia tak lama lagi akan menikmati suguhan
pertandingan level dunia dalam waktu dekat.

Pasalnya, harga tiket untuk menonton langsung turnamen bulutangkis Indonesia
Masters 2023 di Istora Senayan, Jakarta, sudah mulai dijual besok, Kamis
(22/12/2022).

Kepastian itu disampaikan oleh Ketua Panitia Pelaksana turnamen Daihatsu
Indonesia Masters 2023, Armand Darmadji.

Pada ajang kali ini harga tiket masuk rupanya tak mengalami kenaikan alias
masih sama seperti penyelenggaraan Indonesia Masters tahun 2022.

""Panitia pelaksana turnamen Daihatsu Indonesia Masters 2023 memutuskan bahwa
harga tiket untuk penyelenggaraan tahun 2023 tidak mengalami kenaikan. Semua
harga tiket di berbagai kelas, masih sama dengan tahun 2022,"" ujar Armand.

Turnamen Indonesia Masters 2023 merupakan bagian dari perhelatan HSBC BWF
World Tour Super 500 ini akan berlangsung di Istora Gelora Bung Karno,
Senayan, Jakarta, pada 24-29 Januari 2023.

Turnamen itu menyediakan hadiah total 420.000 dolar AS atau lebih dari Rp6,5
miliar. Selain itu, peserta juga bisa meraih 9.200 poin rangking apabila
sukses menjadi kampiun.

Menurut Armand, keputusan untuk tidak menaikkan harga tiket itu karena melihat
kondisi perekonomian di Tanah Air yang belum pulih total setelah diterpa
pandemi Covid-19.

Selain itu juga untuk mengakomodasi keinginan para badminton lovers agar bisa
kembali ke Istora tanpa dibebani harga tiket yang melambung dan tak
terjangkau.

""Panitia pelaksana mendengar keinginan para penggemar bulutangkis agar harga
tiket Daihatsu Indonesia Masters 2023 tidak mengalami kenaikan. Maka, harga
tiket yang kami lepas memang harus terjangkau dan sesuai dengan kantung para
pecinta bulutangkis yang dari tahun ke tahun selalu hadir memenuhi arena
pertandingan,"" ungkap Armand.

Armand menambahkan, setiap hari panitia penyelenggara akan menyediakan 6.000
tiket. Harga tiket tersebut akan dijual secara presale dengan jumlah terbatas
dan normal.

Bagi para penggemar, tiket akan mulai dijual secara online pada Kamis,
(22/12/2022), mulai pukul 12.00 WIB melalui website resmi PBSI, pbsi.id dan
loket.com.

Selain itu, setiap hari juga akan dialokasikan tiket yang siap dijual di
tempat pertandingan atau On The Spot (OTS).

Satu di antara syarat dan ketentuan pembelian tiket secara online adalah satu
Kartu Penduduk (KTP) maksimal bisa membeli 10 tiket untuk enam hari kejuaraan
dengan satu kategori maksimal dua tiket/hari.

1\. 24-25 Januari 2022 (Babak Kualifikasi dan Babak 32 Besar

VIP  
Presale: Rp. 150.000  
Normal: Rp. 200.000

Regular  
Presale: Rp. 90.000  
Regular: Rp. 110.000

2\. 26 Januari 2022 (Babak 16 Besar)

VIP  
Presale: Rp. 260.000  
Normal: Rp. 300.000

Regular  
Presale: Rp. 145.000  
Normal: Rp. 175.000

3\. 27 Januari 2022 (Babak Perempatfinal

VIP  
Presale: Rp. 410.000  
Normal: Rp. 450.000

Regular  
Presale: Rp. 210.000  
Normal: Rp. 250.000

4\. 28 Januari 2022 (Babak Semifinal)

VIP  
Presale: Rp. 700.000  
Normal: Rp. 800.000

Regular  
Presale: Rp. 320.000  
Normal: Rp. 350.000

5\. 29 Januari 2022 (Babak Final)

VIP  
Presale: Rp. 880.000  
Normal: Rp. 990.000

Regular  
Presale: Rp. 410.000  
Normal: Rp. 450.000

 ",www.tribunnews.com
"Nova Widianto Resmi Dapat Kepercayaan BAM, Jajaran Pelatih Malaysia Cita Rasa Indonesia","Rabu, 21 Des 2022 14:34 WIB","\- Kabar mengejutkan datang dari bulu tangkis Malaysia yang akhirnya secara
resmi memperkenalkan Nova Widianto sebagai pelatih baru mereka tepatnya sektor
ganda campuran.

Nova Widianto telah sepakat untuk menandatangani kontrak berdurasi dua tahun
seperti yang ditawarkan pihak BAM.

Penunjukkan Nova Widianto sebagai pelatih bulu tangkis Malaysia seakan
menambah cita rasa hadirnya juru taktik asal Indonesia di Negeri Jiran.

Seperti diketahui Nova Widianto merupakan pelatih yang memiliki darah asli
Indonesia.

Bahkan, karier gemilang yang ditorehkan Nova Widianto selama ini juga
dipersembahkan untuk Merah Putih.

Hanya saja memang Nova Widianto kini telah berganti tugas dari yang awalnya
melatih ganda campuran Indonesia kini berpindah ke Malaysia.

Kepastian tersebut telah diumumkan secara resmi oleh Asosiasi Bulu Tangkis
Malaysia alias BAM.

Pihak BAM sendiri berharap Nova Widianto sudah bisa memimpin secara langsung
latihan sektor ganda putra Malaysia mulai bulan depan.

""Para pemain ganda campuran nasional sangat senang dengan prospek pelatih
sekaliber Nova Widianto yang akan membantu mereka,"" ujar Rexy Mainaky selaku
Direktur Pembinaan Ganda Malaysia dilansir laman resmi BAM.

""Pengetahuan dan pengalaman Nova akan terasa sangat berharga bagi para pemain
kami saat ini yang berada dalam skuat,""

""Apalagi dengan adanya kompetisi Kualifikasi Olimpiade Paris yang dimulai
tahun depan,"" tambahnya.

Penunjukkan Nova Widianto seakan semakin menambah cita rasa legenda bulu
tangkis Indonesia di kubu Malaysia.

Sebagaimana diketahui bahwa berbagai jabatan strategis pos pelatih bulu
tangkis Malaysia kini ditempati oleh beberapa nama yang tak asing bagi
Indonesia.

Contohnya di pos sektor tunggal putra, Hendrawan mengampu sebagai pelatih
utama di nomor tersebut.

Indra Wijaya juga mendapatkan kepercayaan penuh untuk melatih Kisona
Selvaduray cs di sektor tunggal putri.

Rexy Mainaky juga belum lama ini dipercaya melatih sektor ganda putra
Malaysia, dirinya bahkan juga punya peran ganda sebagai direktur pembinaan
sektor.

Di nomor ganda campuran, sebelumnya ada sosok Paulus Firman yang tak boleh
dilupakan begitu saja oleh para pecinta bulu tangkis Indonesia.

Kini, posisi Paulus Firman akan dilanjutkan oleh rekan senegaranya sendiri
yaitu Nova Widianto.

Artinya hanya sektor ganda putri saja dimana tak ada sosok pelatih asal
Indonesia di nomor tersebut.

__

 ",www.tribunnews.com
"Resmi Gabung Jajaran Pelatih Bulutangkis Malaysia, Nova Widianto Jadi Trending Topik Twitter","Rabu, 21 Des 2022 15:44 WIB","\- Nama Nova Widianto saat ini menjadi trending topik Twitter, Rabu
(21/12/2022).

Bukan tanpa alasan, Nova Widianto trending seusai ia resmi bergabung dengan
jajaran pelatih bulutangkis Malaysia.

Federasi Bulu Tangkis Malaysia (BAM) telah memperkenalkan Nova Widianto
sebagai pelatih baru sektor ganda campuran.

Dikutip dari laman resmi BAM, Nova telah sepakat menandatangani kontrak
berdurasi dua tahun sebagai pelatih bulu tangkis Negeri Jiran sektor ganda
campuran.

Sebelumnya, Nova juga pernah melatih ganda campuran Indonesia.

Pihak BAM berharap Nova sudah bisa memimpin secara langsung latihan sektor
ganda putra Malaysia mulai bulan depan.

""Para pemain ganda campuran nasional sangat senang dengan prospek pelatih
sekaliber Nova Widianto yang akan membantu mereka.""

""Pengetahuan dan pengalaman Nova akan terasa sangat berharga bagi para pemain
kami saat ini yang berada dalam skuad.""

""Apalagi dengan adanya kompetisi Kualifikasi Olimpiade Paris yang dimulai
tahun depan,"" ujar Rexy Mainaky selaku Direktur Pembinaan Ganda Malaysia.

Seusai kabar gabungnya Nova dengan BAM, namanya pun ramai diperbincangkan oleh
warga Twitter.

Dari pantauan _Tribunnews.com_ , Rabu (12/12/2022), pukul 15.30, nama ""Coach
Nova"" menjadi trending Twitter di bawah topik Messi.

Para warganet yang turut senang dengan bergabungnya Nova ke dalam jajaran
pelatih bulutangkis Malaysia.

Tidak jarang, banyak yang menyambutnya dengan mengucapkan selamat datang.

_""RESMI:Nova Widianto telah menandatangani kontrak selama 2 tahun dengan
Persatuan Bulu Tangkis Malaysia sebagai pelatih Ganda Campuran._

_Semua pelatih terbaik!,""_ tulis _@BadmintonTalk._

Nova bukanlah satu-satunya pelatih berdarah Indonesia yang menangani
bulutangkis Malaysia.

Sebelumnya, telah ada Hendrawan yang menjadi pelatih utama sektor tunggal
putra.

Selain itu, juga ada Indra Wijaya yang melatih Kisona Selvaduray cs di sektor
tunggal putri.

Belum lama ini, Rexy Mainaky juga dipercaya melatih sektor ganda putra,
dirinya bahkan juga punya peran ganda sebagai direktur pembinaan sektor.

Sebelum Nova, juga ada sosok Paulus Firman yang menjadi pelatih sektor ganda
campuran .

Kini, posisi Paulus Firman akan dilanjutkan oleh rekan senegaranya sendiri
yaitu Nova.

__

 ",www.tribunnews.com
