title,date,description,source
Ridwan Kamil Ingin UMKM di Jabar Berbasis Green Economy,"Sabtu, 14 Mei  2022 21:00 WIB",kemeja lengan berwarna biru dongker putih motif daun berwarna cokelat muda dikenakan gubernur jawa barat ridwan kamil pakaian serupan dikenakan atalia praratya menghadiri acara karya kreatif jawa barat kkj 2022 bank indonesia jabar dikolaborasikan pekan kerajianan jawa barat pkjb 2022 dekranasda jabar trans hotel bandung sabtu 14 5 2022 pakaian dikenakan kang emil sapaan ridwan kamil bu cinta sapaan atalia praratya pakaian ramah lingkungan pewarna pakaian menghadirkan motirf baju berbasis ecoprint mendukung program green economy ekonomi hijau gencar menjaga bumi baju dipakai ecoprint tradisi arahkan produk produk tekstil berkulitas jawa barat lihat fashion show kreatif super kang emil membuka acara kang emil menyambut kegiatan kkj 2022 dikolaborasikan pkjb 2022 meningkatkan perekonomian umkm jawa barat menyambut sejarahnya diselenggarakan jawa barat meng indonesia standar nasional seiring presiden mengarahkan minimal 40 persen belanja pemerintah umkm minimal 40 persen rp 160 triliun rp 400 triliun kesempatan produk umkm unjuk produknya berkualitas produk umkm registrasikan e katalog ketiga nilai plus tema nilai plusnya green economy kang emil umkm berbasis ekonomi hijau dikembangkan jawa barat menjaga alam jawa barat salah sumber energinya energi hijau sumber material produksinya cari terdekat dijual kombinasi bahan daur ulang berkualitas daya hidup karbon rendah dibudayakan jawa barat seiring kebutuhan visi hijau paparnya deputi gubernur bank indonesia doni joewono mengaku senang kegiatan digagasnya 2019 kepala bi jabar digelar kerennya koordinasi pemangku kepentingan dekranasda 2021 pikir acara bagus menurutnya kkj pkjb event road to kki karya kreatif indonesia diselenggarakan tanggal 27 mei 2022 benchmark contoh 2019 ditiru indonesia provinsi jawa barat utama mengadakan kkj bank indonesia men support gambas video 20detik,www.detik.com
Neraca Dagang RI Masih Menang Lawan AS,"Senin, 16 Nov 2020 15:08 WIB",badan pusat statistik bps mencatat neraca perdagangan indonesia surplus amerika serikat as oktober 2020 otoritas statistik nasional mencatat neraca perdagangan indonesia surplus us 1 02 miliar negeri paman sam neraca perdagangan non migas terbesar surplus as neraca perdagangan surplus us 1 029 1 juta deputi bidang statistik distribusi jasa bps setianto video conference senin 16 11 2020 surplus terbesar setianto filipina neraca perdagangan indonesia filipina surplus us 570 8 juta terbesar ketiga india nilai surplusnya mencapai us 546 1 juta advertisement scroll to resume content rinci nilai ekspor indonesia amerika serikat mencapai us 1 63 miliar oktober 2020 nilai impornya us 609 0 juta surplus us 1 02 miliar australia ukraina hong kong setianto neraca perdagangan indonesia defisit tekor tekor neraca perdagangan australia us 178 4 juta nilai ekspor indonesia us 198 2 juta impornya us 376 6 juta ukraina neraca dagang indonesia tekor us 158 1 juta hong kong tekor us 92 2 juta khusus neraca perdagangan indonesia setianto mengalami surplus us 3 61 miliar oktober 2020 nilai ekspor us 14 39 miliar impor us 10 78 miliar kumulatif neraca perdagangan indonesia surplus us 17 07 miliar ekspor januari oktober us 131 54 miliar nilai impornya us 114 47 miliar,www.detik.com
"Neraca Perdagangan Februari Surplus US$ 1,32 Miliar","Rabu, 15 Mar 2017 12:07 WIB",neraca perdagangan februari 2017 tercatat surplus mencapai us 1 32 miliar ekspor mencapai us 12 57 miliar impor us 11 26 miliar surplus februari tercatat us 1 32 miliar suhariyanto konferensi pers kantor pusat bps jakarta rabu 15 3 2017 ekspor februari tercatat mencapai us 12 57 miliar menurun 6 17 dibandingkan dibanding februari 2016 meningkat 11 16 khusus ekspor nonmigas februari mencapai us 11 38 miliar turun 6 21 dibanding januari 2017 dibanding ekspor februari 2016 11 55 kumulatif nilai ekspor indonesia januari februari 2017 mencapai us 25 98 miliar meningkat 19 20 dibanding periode 2016 ekspor non migas mencapai us 23 51 miliar meningkat 20 11 advertisement scroll to resume content penurunan terbesar ekspor non migas februari 2017 januari 2017 bijih kerak abu logam us 316 0 juta 99 12 peningkatan terbesar perhiasan permata us 251 7 juta 105 20 berdasarkan sektornya ekspor non migas hasil industri pengolahan januari februari 2017 18 83 dibanding periode ekspor hasil pertanian 20 36 ekspor hasil tambang 28 20 pangsa pasar terbesar china us 1 36 miliar disusul amerika serikat us 1 36 miliar india us 1 02 miliar kontribusi ketiganya mencapai 32 81 ekspor uni eropa 28 negara us 1 29 miliar impor februari mencapai us 11 26 miliar turun 5 96 dibanding januari 2017 dibandingkan februari 2016 meningkat 10 61 khusus non migas impor mencapai us 8 83 miliar turun 12 93 dibanding januari 2017 dibanding februari 2016 menurun 2 46 impor migas februari 2017 mencapai us 2 43 miliar 32 71 dibanding januari 2017 dibanding februari 2016 116 04 peningkatan impor non migas terbesar februari dibanding januari 2017 golongan kendaraan bagiannya us 117 6 juta 28 36 penurunan terbesar golongan mesin peralatan listrik us 287 1 miliar 21 17 negara pemasok barang impor nonmigas terbesar januari februari 2017 ditempati china nilai us 4 87 miliar 25 68 jepang us 2 15 miliar 11 32 thailand us 1 38 miliar 7 25 impor nonmigas asean mencapai pangsa pasar 21 02 uni eropa 9 71,www.detik.com
3 Fakta Ekonomi RI Terancam Pingsan,"Rabu, 09 Des 2020 19:00 WIB",hantaman pandemi covid 19 ekonomi ri babak belur hantam ekonomi ri pingsan pandangan diutarakan langsung menteri keuangan sri mulyani indrawati 3 faktanya 1 dunia usaha pingsan sri mulyani situasi sulit pandemi sektor keuangan perbankan mengalami tekanan tercermin pertumbuhan penyaluran kredit advertisement scroll to resume content psak 71 lihat risiko kredit melonjak kredit growth menurun kredit growth level 0 negatif growth kredit lemah mendorong ekonomi ekonomi didorong apbn terangnya acara business finance accounting conference digelar iai selasa 8 12 2020 pertumbuhan kredit alarm tanda bahaya korporasi bisnisnya sri mulyani menyebutnya kondisi dunia usaha pingsan 2 menjalar ekonomi situasi sulit pandemi sektor keuangan perbankan mengalami tekanan tercermin pertumbuhan penyaluran kredit psak 71 lihat risiko kredit melonjak kredit growth menurun kredit growth level 0 negatif growth kredit lemah mendorong ekonomi ekonomi didorong apbn terangnya pertumbuhan kredit alarm tanda bahaya ekonomi ri korporasi bisnisnya sri mulyani menyebutnya kondisi dunia usaha pingsan situasi berupaya sektor sektor keuangan korporasi bisnisnya hati hati pulih pingsan ekonominya pingsan terangnya gimana antisipasinya buka halaman halaman 1 2,www.detik.com
"Di Paris, Gibran Tanya UNESCO Alasan Solo Tak Masuk Kota Kreatif","Selasa, 14 Jun 2022 06:16 WIB",pembukaan pameran umkm java in paris rabu 8 6 pekan wali kota solo gibran rakabuming raka bertemu perwakilan unesco paris gibran masuknya kota solo creative cities network ccn jaringan kota kreatif unesco gibran solo kali gagal masuk ccn kota solo kalah kota masuk ccn solo kali gagal masuk creative cities network unesco alasannya potensi nggak kalah gibran balai kota solo senin 13 6 2022 gibran mengaku mencatat kekurangan menyebabkan solo gagal masuk ccn unseco menurutnya kesalahan utama terletak penyajian materinya unesco kendalanya proposalnya salah detailkan kemarin catat gibran data data didetailkan portofolio kota solo kancah internasional pengaruh portofolionya paragames piala dunia pameran paris imbuh indonesia memiliki jaringan kota kreatif jakarta bandung pekalongan ambon gibran batik gastronomi tata boga potensi utama kota solo mengejar daerah pekalongan batik solo gastronomi solo potensinya bagus coba gibran unesco gibran bertemu pimpinan moet hennessy louis vuitton lvmh membawahi merek ternama pertemuan gibran mengaku memperkenalkan kenalan edukasi batik katalog sampel sampel batik desainer berkenan mengeksplor batik desain desain batik jalan gibran gibran lvmh memiliki jaringan mal lvmh menawarkan tempatnya dipakai pameran digelar le bhv marais jaringan mal lvmh saingannya bhv tempatku salah satunya menawarkan gibran diberitakan wali kota solo gibran rakabuming raka resmi membuka pameran umkm bertajuk java in paris rabu 8 6 pameran diselenggarakan mal le bhv marais prancis 8 juni 17 juli 2022 momentum pandemi umkm terpukul momen bangkit meloncat sebulan penuh kesempatan men display produk terbaik solo gibran membuka pameran paris ditayangkan akun youtube gibran rakabuming kamis 9 6 gambas video 20detik,www.detik.com
Kelamnya RI di Penghujung Era Soeharto: Ekonomi Porak-poranda Disapu Krisis,"Selasa, 08 Jun 2021 20:00 WIB",indonesia kisah pahit 2008 ujung pemerintahan presiden soeharto indonesia terjebak krisis ekonomi dampaknya masyarakat krisis krisis 1998 kondisinya berat pemulihannya waktu krisis 1965 1966 kondisi sosial politik ekonomi kondisi memprihatinkan ekonomi 1965 inflasi mencapai 594 1966 mencapai 635 kondisi berat memulihkan ekonomi sosial politik waktu mantan gubernur bank indonesia bi agus martowardojo 3 april 2020 advertisement scroll to resume content krisis ekonomi terparah pemerintahan soeharto 1997 1998 peristiwa penyebab utama tumbangnya orde berkuasa 32 sisi nilai tukar pemerintahan soeharto dolar as kisaran rp 2 000 rp 2 500 indonesia menganut rezim kurs mengambang orde dolar as bertahan level imbas kebijakan cadangan devisa indonesia tergerus menjaga kurs pemerintah membuka rupiah kurs mengambang dolar as merangkak rp 4 000 1997 rp 6 000 1998 ekonomi morat marit penjarahan pelemahan rupiah diperparah kondisi keamanan politik indonesia bergejolak mei 1998 kerusuhan menuntut presiden soeharto mundur situ krisis moneter indonesia memuncak rupiah jatuh berdaya dolar as mencapai level rp 16 650 perekonomian kacau balau ekonomi indonesia tumbuh 13 1 harga harga pangan melambung inflasi meroket 82 4 depresiasi rupiah mencapai 197 krisis ekonomi menyebar negara dunia kali 2 juli 1997 thailand mendeklarasikan tidam membayar utang negerinya halaman krisis moneter era soeharto halaman 1 2,www.detik.com
"Pertamina Impor Pipa, di Dalam Negeri Nggak Ada?","Kamis, 11 Mar 2021 14:30 WIB",impor pipa pt pertamina persero berujung dipecatnya pejabat perusahaan milik negara presiden joko widodo jokowi menteri koordinator bidang kemaritiman investasi luhut binsar pandjaitan pertanyaannya pipa pipa dibutuhkan pertamina tersedia negeri ekonom jawabannya tersedia pemerintah mensyaratkan tingkat komponen negeri tkdn memikirkan ketersediaannya terkait pipa disyaratkan negeri pipa pipa direktur riset center of reform on economic core indonesia piter abdullah dihubungi kamis 11 3 2021 advertisement scroll to resume content pipa dibutuhkan pertamina negeri piter indonesia industri dipesan khusus membuatkan pipa seandainya pipa diimpor negeri dikomunikasikan pipa industri negeri seandainya dibutuhkan memenuhi permintaan dihubungi terpisah ekonom institute for development of economics and finance indef bhima yudhistira berpendapat pemain lokal menyediakan pipa sektor migas sektor migas hulu hilir pemain pemain lokal standardisasi internasional diragukan kualitas profesionalitasnya bhima produsen pipa negeri eksportir bersaing lelang lelang pengadaan barang jasa perusahaan perusahaan negeri substitusi barang impor negeri diutamakan diprioritaskan gambas video 20detik,www.detik.com
Luhut Ungkap Ancaman Omicron cs ke Ekonomi RI,"Jumat, 17 Des 2021 08:01 WIB",menteri koordinator bidang kemaritiman invetasi luhut binsar pandjatan mengungkap varian omicron kunci pemulihan ekonomi penyebaran varian pemulihan ekonomi indonesia lambat luhut varian omicron menimbulkan ketakutan negara ditemukan november ketakutan varian omicron kali terdeteksi afrika selatan november acara indonesia s rebound economic outlook 2022 kamis 16 12 2021 advertisement scroll to resume content kehadiran varian omicron negara indonesia waspada perkiraan varian cepat menular varian negara dunia indonesia waspada perkiraan omicron berpotensi menular memiliki karakteristik kekebalan vaksinasi luhut gejala varian omicron ringan varian kunci pemulihan ekonomi pengembangan varian omicron kunci pemulihan ekonomi 2022 luhut varian omicron meningkatkan rawat inap pemulihan lambat luhut historisnya virus jinak seiring berjalannya waktu covid 19 menular memiliki gejala minimal mengharapkan pemulihan cepat hidup virus aman gambas video 20detik halaman 1 2,www.detik.com
Top! Produk Unggulan UMKM Indonesia Bakal Ada di Vending Machine,"Selasa, 24 Mei  2022 13:23 WIB",jakarta kolaborasi apik perusahaan mendukung pertumbuhan umkm lokal dimana menyediakan vending machine indonesia,www.detik.com
"Eksportir Punya Tantangan Sendiri di Tengah Pandemi, Apa Solusinya?","Sabtu, 28 Agu 2021 09:00 WIB",tantangan dihadapi pelaku usaha eksportir pandemi meningkat akibat pembatasan aktifitas negara tujuan ekspor penerapan kebijakan negara menimbulkan ketidakpastian pembayaran buyer negeri menambah kekuatiran eksportir eksportir home cor furniture bali agung yuristika kepastian pembayaran perhatian pengusaha kondisi pandemi kepastian pembayaran buyer negeri risiko dipertimbangkan mengganggu cashflow agung yuristika keterangannya sabtu 27 8 2021 advertisement scroll to resume content kondisi kebutuhan layanan keuangan proteksi mendesak asuransi ekspor asuransi kredit ekspor fasilitas dibutuhkan pelaku usaha eksportir produk asuransi kredit ekspor trade credit insurance lpei salah produk dibutuhkan eksportir kondisi pandemi fasilitas eksportir nyaman menjalankan kegiatan bisnis bertransaksi agung corporate secretary lpei agus windiarto lpei special mission vehicle smv kementerian keuangan ri peningkatan ekspor nasional memiliki fasilitas memenuhi kebutuhan eksportir tujuannya meningkatkan kapasitas daya saing pelaku usaha berorientasi ekspor pembiayaan penjaminan lpei memiliki fasilitas asuransi ekspor fasilitas bertujuan proteksi pengiriman pembayaran eksportir semester i 2021 realisasi asuransi mencapai nilai rp 9 6 triliun mengupayakan angka bertambah pelaku usaha mengamankan kegiatan bisnisnya agus windiarto memiliki fasilitas peningkatan ekspor nasional lpei pemerintah program pemulihan ekonomi nasional salah penugasan program penjaminan kredit korporasi pemerintah jaminah tujuan membantu korporasi tambahan modal kerja perbankan diluncurkannya program jaminah pertengahan 2020 juni 2021 nilai penjaminan kredit diterbitkan mencapai rp 2 triliun 28 perbankan komersial bank himbara bank pembangunan daerah bank swasta asing berpartisipasi program jaminah penandatanganan pks mou,www.detik.com
